sample,read_id,upstream_flank_len,core_repeat_len,downstream_flank_len,total_length,cag_units,caa_units,cga_units,event_count,total_event_bp,frameshift_events,in_frame_events,avg_event_length,oof_patterns
H1,m84137_260214_004236_s1/164432081/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/148439768/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/186910657/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/189989302/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/172755422/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/172818548/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/152962428/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/115607861/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/158075193/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/51909219/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/13112080/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/39851510/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/14422579/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/46141221/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/66653640/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/194184660/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/219742852/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/208013495/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/224199709/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/222300391/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/184353213/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/118363276/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/100471374/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/81072207/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/108269654/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/151850272/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/142940077/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/166269950/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/188027035/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/84808456/ccs,50,138,80,268,46,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/107483187/ccs,50,132,86,268,23,0,0,2,3,2,0,1.5,1
H1,m84137_260214_004236_s1/193204969/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/172496381/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/113705472/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/193923899/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/234553620/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/258408654/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/212538218/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/215029581/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/215682376/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/37160389/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/140186191/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/38798205/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/213582072/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/231343865/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/240584796/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/257754166/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/236455814/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/258411430/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/130944174/ccs,50,132,86,268,44,0,0,0,0,0,0,0.0,0
